id;fecha;tipo;accion;que;plataforma_pago;cantidad;detalle1;detalle2;created_at;updated_at
39;2021-04-06T00:00:00-02:00;Comida;Gasto;Supermercado;any;24.4;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
40;2021-04-07T00:00:00-02:00;Alquiler;Gasto;Piso;any;200;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
41;2021-04-08T00:00:00-02:00;Cripto D;Inversión;Binance;any;200;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
42;2021-04-09T00:00:00-02:00;Comida;Gasto;Supermercado;any;14.02;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
43;2021-04-10T00:00:00-02:00;Comida;Gasto;Supermercado;any;4.8;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
44;2021-04-12T00:00:00-02:00;Otros Gastos;Gasto;Cosas del piso;any;96.5;compras necesarias del piso Joan;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
45;2021-04-12T00:00:00-02:00;QFI;Gasto;Pádel;any;4.75;Pádel Mar;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
46;2021-04-13T00:00:00-02:00;Cripto D;Inversión;Binance;any;190;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
47;2021-04-16T00:00:00-02:00;Comida;Gasto;Supermercado;any;23.26;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
48;2021-04-17T00:00:00-02:00;Otros Gastos;Gasto;Corte Pelo;Cash;7;;Bros;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
49;2021-04-17T00:00:00-02:00;Comida;Gasto;Supermercado;any;9.3;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
50;2021-04-18T00:00:00-02:00;Otros Gastos;Gasto;Muestras MB;any;38.58;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
51;2021-04-18T00:00:00-02:00;Cripto D;Inversión;Binance;any;300;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
52;2021-04-22T00:00:00-02:00;Tools;Gasto;Hosting;any;12.04;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
53;2021-04-23T00:00:00-02:00;Comida;Gasto;Restaurante;any;15;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
54;2021-04-23T00:00:00-02:00;Comida;Gasto;Supermercado;any;4;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
55;2021-04-23T00:00:00-02:00;Comida;Gasto;Supermercado;any;5.65;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
56;2021-04-23T00:00:00-02:00;Cripto D;Inversión;Binance;any;400;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
57;2021-04-27T00:00:00-02:00;Comida;Gasto;Supermercado;any;17.03;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
58;2021-04-27T00:00:00-02:00;Viajes/ Transporte;Gasto;Vuelo;any;2.49;BCN Navarro/ Ama;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
59;2021-04-29T00:00:00-02:00;Hobby;Gasto;Squash;any;8;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
60;2021-04-29T00:00:00-02:00;Cripto D;Inversión;Binance;any;200;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
61;2021-04-30T00:00:00-02:00;QFI;Gasto;Bar;any;5.7;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
62;2021-04-30T00:00:00-02:00;Viajes/ Transporte;Gasto;Vuelo;any;2.49;BCN Navarro/ Ama;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
63;2021-05-01T00:00:00-02:00;Empleo;Ingreso;EFIWATT;any;998.2;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
64;2021-05-01T00:00:00-02:00;Comida;Gasto;Restaurante;any;5.75;Kebab;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
65;2021-05-02T00:00:00-02:00;Tools;Gasto;Portátil HP;any;100;Deuda Amadeo;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
66;2021-05-02T00:00:00-02:00;Alquiler;Gasto;Piso;any;200;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
67;2021-05-02T00:00:00-02:00;Otros Gastos;Gasto;Cosas del piso;any;34;Limpieza bimensual;Vicky;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
68;2021-05-03T00:00:00-02:00;Tools;Gasto;Ads;any;8.27;IG Post MTM;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
69;2021-05-05T00:00:00-02:00;Otros Gastos;Gasto;Inesperado;any;31.47;Retrovisor moto (caída);;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
70;2021-05-06T00:00:00-02:00;Cripto D;Inversión;Binance;any;300;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
71;2021-05-08T00:00:00-02:00;Comida;Gasto;Supermercado;any;7.81;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
72;2021-05-08T00:00:00-02:00;Comida;Gasto;Restaurante;any;10;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
73;2021-05-09T00:00:00-02:00;Comida;Gasto;Shake;any;34.42;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
74;2021-05-10T00:00:00-02:00;Otros Gastos;Gasto;Prestar;any;8.98;regalando dinero…;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
75;2021-05-13T00:00:00-02:00;Cripto D;Inversión;Binance;any;200;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
76;2021-05-14T00:00:00-02:00;Otros Gastos;Gasto;Muestras MB;any;30.64;Camisetas MB ;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
77;2021-05-14T00:00:00-02:00;Comida;Gasto;Supermercado;any;4.15;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
78;2021-05-15T00:00:00-02:00;Comida;Gasto;Restaurante;any;8.6;Invitar desayuno Ama;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
79;2021-05-15T00:00:00-02:00;QFI;Gasto;Bar;any;14.4;Invitar a cervezas;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
80;2021-05-15T00:00:00-02:00;QFI;Gasto;Bar;any;5;Cervezas;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
81;2021-05-16T00:00:00-02:00;Café;Gasto;Bar;any;3.05;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
82;2021-05-16T00:00:00-02:00;Otros Gastos;Gasto;LoungeKey;any;2.65;Ni idea, debería ser gratis;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
83;2021-05-16T00:00:00-02:00;Comida;Gasto;Restaurante;any;5.9;Kebab;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
84;2021-05-18T00:00:00-02:00;Comida;Gasto;Bar;any;4;no me acuerdo;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
85;2021-05-18T00:00:00-02:00;Tools;Gasto;Portátil HP;any;200;Fin deuda Amadeo;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
86;2021-05-22T00:00:00-02:00;Comida;Gasto;Supermercado;any;9.7;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
87;2021-05-22T00:00:00-02:00;Cripto D;Inversión;Binance;any;200;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
88;2021-05-24T00:00:00-02:00;Tools;Gasto;Hosting;any;12.04;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
89;2021-05-24T00:00:00-02:00;Comida;Gasto;Supermercado;any;7.41;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
90;2021-05-25T00:00:00-02:00;Viajes/ Transporte;Gasto;Gasolina;any;10;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
91;2021-05-26T00:00:00-02:00;Comida;Gasto;Restaurante;any;16;Hamburguesa;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
92;2021-05-29T00:00:00-02:00;Comida;Gasto;Restaurante;any;4.6;Kebab sano Quebabgo;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
93;2021-05-30T00:00:00-02:00;Hobby;Gasto;Tenis;any;10;Invitar Estela;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
